index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
29	main-captions	MSRvid	2012test	46	none	none	Uma garota está empinando uma pipa.	Uma garota correndo empinando uma pipa.	4.0
30	main-captions	MSRvid	2012test	47	none	none	Um homem está montando um touro mecânico.	Um homem montou um touro mecânico.	4.0
31	main-captions	MSRvid	2012test	48	none	none	O homem está tocando violão.	Um homem está tocando violão.	4.909
32	main-captions	MSRvid	2012test	50	none	none	Uma mulher está dançando e cantando com outras mulheres.	Uma mulher está dançando e cantando na chuva.	3.0
33	main-captions	MSRvid	2012test	52	none	none	Um homem está cortando um pão.	Um homem está cortando uma cebola.	2.4
34	main-captions	MSRvid	2012test	53	none	none	Um homem está derramando óleo em uma panela.	Um homem está derramando óleo em uma frigideira.	4.2
35	main-captions	MSRvid	2012test	54	none	none	Um leão está brincando com as pessoas.	Um leão está brincando com dois homens.	3.4
36	main-captions	MSRvid	2012test	55	none	none	Um cachorro anda de skate.	Um cachorro está andando de skate.	5.0
37	main-captions	MSRvid	2012test	56	none	none	Alguém está esculpindo uma estátua.	Um homem está esculpindo uma estátua.	3.75
38	main-captions	MSRvid	2012test	57	none	none	Uma mulher está cortando uma cebola.	Um homem está cortando uma cebola.	2.75
39	main-captions	MSRvid	2012test	58	none	none	Uma mulher descasca camarão.	Uma mulher está descascando camarão.	5.0
40	main-captions	MSRvid	2012test	59	none	none	Uma mulher está fritando peixe.	Uma mulher está cozinhando peixe.	4.0
41	main-captions	MSRvid	2012test	61	none	none	Uma mulher está tocando uma guitarra elétrica.	Uma mulher está tocando violão.	3.6
42	main-captions	MSRvid	2012test	62	none	none	Um tigre bebê está brincando com uma bola.	Um bebê está brincando com uma boneca.	1.6
43	main-captions	MSRvid	2012test	64	none	none	Uma pessoa está cortando um tomate.	Uma pessoa está cortando um pouco de carne.	1.75
44	main-captions	MSRvid	2012test	65	none	none	Uma pessoa corta uma cebola.	Uma pessoa está cortando uma cebola.	5.0
45	main-captions	MSRvid	2012test	68	none	none	Um homem está tocando piano.	Uma mulher está tocando violino.	1.0
46	main-captions	MSRvid	2012test	69	none	none	Uma mulher está tocando flauta.	Um homem está tocando violão.	1.0
47	main-captions	MSRvid	2012test	70	none	none	Um homem está cortando uma batata.	Um homem está cortando cenouras.	2.375
48	main-captions	MSRvid	2012test	71	none	none	Uma criança está tocando violão.	Um garoto está tocando violão.	3.8
49	main-captions	MSRvid	2012test	72	none	none	Um garoto está tocando violão.	Um homem está tocando violão.	3.2
50	main-captions	MSRvid	2012test	73	none	none	Um homem está tocando violão.	Um garoto está tocando violão.	3.2
51	main-captions	MSRvid	2012test	75	none	none	Um garotinho está tocando um teclado.	Um garoto está tocando teclado.	4.4
52	main-captions	MSRvid	2012test	77	none	none	Um homem está tocando violão.	Um homem está tocando uma guitarra elétrica.	3.75
53	main-captions	MSRvid	2012test	78	none	none	Um cachorro lambe um bebê.	Um cachorro está lambendo um bebê.	4.75
54	main-captions	MSRvid	2012test	80	none	none	Uma mulher está cortando uma cebola.	Um homem está cortando e cebola.	3.2
55	main-captions	MSRvid	2012test	81	none	none	Um homem está tocando violão.	Um homem está tocando bateria.	1.556
56	main-captions	MSRvid	2012test	83	none	none	Uma mulher está cortando uma pimenta.	Uma mulher está cortando uma pimenta vermelha.	3.938
57	main-captions	MSRvid	2012test	84	none	none	Um homem está tocando bateria.	Um homem toca tambor.	5.0
58	main-captions	MSRvid	2012test	85	none	none	Uma mulher monta a cavalo.	Uma mulher está montando um cavalo.	5.0
59	main-captions	MSRvid	2012test	86	none	none	Um homem está comendo uma banana perto de uma árvore.	Um homem está comendo uma banana.	4.0
60	main-captions	MSRvid	2012test	87	none	none	Um gato está tocando um teclado.	Um homem está tocando dois teclados.	1.6
61	main-captions	MSRvid	2012test	89	none	none	Um homem corta uma árvore com um machado.	Um homem cortou uma árvore com um machado.	4.75
62	main-captions	MSRvid	2012test	90	none	none	Uma criança brinca com um telefone de brinquedo.	Um menino brinca com um telefone de brinquedo.	3.5
63	main-captions	MSRvid	2012test	93	none	none	Um homem está andando de moto.	Um homem está montando um cavalo.	1.4
64	main-captions	MSRvid	2012test	94	none	none	Um homem está andando de moto.	Um homem está montando um cavalo.	1.4
65	main-captions	MSRvid	2012test	99	none	none	Um esquilo está girando em círculos.	Um esquilo corre em círculos.	4.0
66	main-captions	MSRvid	2012test	101	none	none	Um homem e uma mulher estão se beijando.	Um beijo de homem e mulher.	5.0
67	main-captions	MSRvid	2012test	102	none	none	Um homem está entrando em um carro.	Um homem está entrando em um carro em uma garagem.	3.833
68	main-captions	MSRvid	2012test	104	none	none	Um homem está dançando.	Um homem está falando.	0.6
69	main-captions	MSRvid	2012test	105	none	none	Um homem está tocando violão e cantando.	Um homem está tocando violão.	2.917
70	main-captions	MSRvid	2012test	106	none	none	Uma pessoa está cortando cogumelos.	Uma pessoa está cortando cogumelos com uma faca.	4.2
71	main-captions	MSRvid	2012test	108	none	none	Um filhote de tigre está fazendo um som.	Um tigre está andando por aí.	2.0
72	main-captions	MSRvid	2012test	109	none	none	Uma pessoa está cortando cebolas.	Uma pessoa está descascando uma cebola.	2.6
73	main-captions	MSRvid	2012test	110	none	none	Um homem está tocando piano.	Um homem está tocando trompete.	1.6
74	main-captions	MSRvid	2012test	111	none	none	Uma mulher está descascando uma batata.	Uma mulher está descascando uma maçã.	2.0
75	main-captions	MSRvid	2012test	112	none	none	Um pankda está comendo bambu.	Um urso panda está comendo bambu.	4.2
76	main-captions	MSRvid	2012test	113	none	none	Uma pessoa está descascando uma cebola.	Uma pessoa está descascando uma berinjela.	2.0
77	main-captions	MSRvid	2012test	114	none	none	Um macaco empurra outro macaco.	O macaco empurrou o outro macaco.	4.8
78	main-captions	MSRvid	2012test	115	none	none	Um esquilo corre em círculos.	Um esquilo está se movendo em círculos.	4.4
79	main-captions	MSRvid	2012test	116	none	none	Um homem está amarrando o sapato.	Um homem amarra o sapato.	5.0
80	main-captions	MSRvid	2012test	117	none	none	Um garoto está cantando e tocando piano.	Um garoto está tocando piano.	3.0
81	main-captions	MSRvid	2012test	118	none	none	Um cachorro está comendo melancia.	Um cachorro está comendo um pedaço de melancia.	4.25
82	main-captions	MSRvid	2012test	119	none	none	Uma mulher está cortando brócolis.	Uma mulher está cortando brócolis com uma faca.	4.25
83	main-captions	MSRvid	2012test	120	none	none	Um homem está descascando uma batata.	Um homem descascou uma batata.	3.8
84	main-captions	MSRvid	2012test	121	none	none	Uma mulher está tocando violão.	Um homem toca violão.	2.4
85	main-captions	MSRvid	2012test	123	none	none	Uma mulher está cortando tomate.	Um homem está cortando cebola.	1.6
86	main-captions	MSRvid	2012test	125	none	none	Um homem nada debaixo d'água.	Uma mulher está nadando debaixo d'água.	2.0
87	main-captions	MSRvid	2012test	126	none	none	Um homem e uma mulher estão conversando.	Um homem e uma mulher estão comendo.	1.6
88	main-captions	MSRvid	2012test	129	none	none	Um cão pequeno está perseguindo uma bola de ioga.	Um cachorro está perseguindo uma bola.	4.0
89	main-captions	MSRvid	2012test	130	none	none	Os homens estão jogando críquete.	Os homens estão jogando basquete.	2.2
90	main-captions	MSRvid	2012test	131	none	none	Um homem sai de moto.	Um homem está andando de moto.	4.4
91	main-captions	MSRvid	2012test	132	none	none	Um homem está tocando violão.	Um homem está cantando e tocando um violão.	3.6
92	main-captions	MSRvid	2012test	133	none	none	O homem falou ao telefone.	O homem está falando ao telefone.	3.6
93	main-captions	MSRvid	2012test	135	none	none	Um homem está pescando.	Um homem está se exercitando.	0.5
94	main-captions	MSRvid	2012test	136	none	none	Um homem está levitando.	Um homem está falando.	0.8
95	main-captions	MSRvid	2012test	138	none	none	Dois garotos estão dirigindo.	Duas baías estão dançando.	0.6
96	main-captions	MSRvid	2012test	141	none	none	Um homem está montado em um cavalo.	Uma garota está montando um cavalo.	2.6
97	main-captions	MSRvid	2012test	142	none	none	Um homem está andando de bicicleta.	Um macaco está andando de bicicleta.	2.0
98	main-captions	MSRvid	2012test	143	none	none	Um homem está cortando batatas.	Uma mulher está descascando batatas.	2.2
99	main-captions	MSRvid	2012test	144	none	none	Uma mulher está descascando uma batata.	Um homem está cortando batata.	2.4
100	main-captions	MSRvid	2012test	145	none	none	Um homem está tocando violão.	Someoen está tocando violão.	3.6
101	main-captions	MSRvid	2012test	148	none	none	Uma mulher está cortando um alho-poró.	Uma mulher está cortando gengibre.	2.2
102	main-captions	MSRvid	2012test	149	none	none	O homem cortou um prato de papel.	Um homem está cortando um prato de papel.	4.8
103	main-captions	MSRvid	2012test	151	none	none	O homem está tocando violão.	Um homem está tocando flauta.	1.643
104	main-captions	MSRvid	2012test	152	none	none	Um homem está tocando piano.	O homem está tocando violino.	1.75
105	main-captions	MSRvid	2012test	154	none	none	Uma mulher está cortando um pouco de carne.	Uma mulher está quebrando um pouco de carne.	2.25
106	main-captions	MSRvid	2012test	155	none	none	Um homem está tocando no teclado.	Um homem está tocando um piano de teclado.	4.0
107	main-captions	MSRvid	2012test	157	none	none	A senhora cortou as cebolas verdes.	A senhora cortou uma cebola verde.	4.8
108	main-captions	MSRvid	2012test	158	none	none	Alguém está colocando macarrão na água.	Uma mulher está fervendo macarrão na água.	3.2
109	main-captions	MSRvid	2012test	160	none	none	Lionel Richie está dançando no teto.	Lionel Ritchie dança em pé no teto.	4.0
110	main-captions	MSRvid	2012test	161	none	none	Um homem está tocando piano.	Uma pessoa está tocando piano.	4.4
111	main-captions	MSRvid	2012test	163	none	none	Uma mulher está tocando flauta.	Uma mulher toca flauta.	4.6
112	main-captions	MSRvid	2012test	164	none	none	Um menino está verificando um calendário.	Um garoto está olhando para um calendário.	3.8
113	main-captions	MSRvid	2012test	165	none	none	Uma mulher está cortando uma cebola.	Uma mulher está cortando cebolas.	4.8
114	main-captions	MSRvid	2012test	166	none	none	Um homem está tocando violão.	Um homem toca violão.	4.857
115	main-captions	MSRvid	2012test	167	none	none	Uma mulher está usando uma máquina de costura.	Uma mulher está costurando em uma máquina.	5.0
116	main-captions	MSRvid	2012test	168	none	none	Uma mulher está lançando panquecas.	Um chef de desenho animado está lançando panquecas.	2.533
117	main-captions	MSRvid	2012test	172	none	none	Um homem está correndo na estrada.	Um carro está dirigindo pela estrada.	1.0
118	main-captions	MSRvid	2012test	175	none	none	Um homem está montado em um cavalo.	Um homem está falando ao telefone.	1.0
119	main-captions	MSRvid	2012test	176	none	none	Um homem está andando de bicicleta.	Um homem está montado em um cavalo.	2.0
120	main-captions	MSRvid	2012test	178	none	none	Uma mulher está dançando.	Um homem está comendo.	0.14300000000000002
121	main-captions	MSRvid	2012test	179	none	none	Um homem está tocando piano.	Um homem está tocando uma flauta.	2.0
122	main-captions	MSRvid	2012test	180	none	none	Um homem está tocando uma flauta.	Um homem está tocando piano.	1.6
123	main-captions	MSRvid	2012test	182	none	none	Um homem está girando.	Um homem está dançando.	1.6
124	main-captions	MSRvid	2012test	184	none	none	Um macaco está balançando de membro a membro.	Um macaco está balançando de árvore em árvore.	3.4
125	main-captions	MSRvid	2012test	185	none	none	As pessoas desceram do trem.	As pessoas desceram do trem na estação.	4.0
126	main-captions	MSRvid	2012test	187	none	none	Um cachorro está pulando de um trampolim.	Um cachorro salta em um trampolim.	4.8
127	main-captions	MSRvid	2012test	188	none	none	Um garoto está tocando um instrumento.	Um homem está tocando trompete.	2.5
128	main-captions	MSRvid	2012test	190	none	none	Uma mulher toca violão.	Um homem canta e toca violão.	1.75
129	main-captions	MSRvid	2012test	191	none	none	Uma mulher está pegando uma lata.	Uma mulher está cortando um tomate.	1.0
130	main-captions	MSRvid	2012test	192	none	none	Um homem está subindo uma corda.	Um homem sobe uma corda.	5.0
131	main-captions	MSRvid	2012test	193	none	none	Um homem está levantando um carro.	Um homem está escalando um muro.	1.4
132	main-captions	MSRvid	2012test	195	none	none	Um homem e uma mulher estão dirigindo pela rua em um jipe.	Um homem e uma mulher estão dirigindo pela estrada em um veículo ao ar livre.	4.0
133	main-captions	MSRvid	2012test	196	none	none	O homem sem camisa estava sentado em uma cadeira.	Um homem sem camisa está sentado em uma cadeira.	3.8
134	main-captions	MSRvid	2012test	198	none	none	Duas mulheres estão lutando.	Duas mulheres estão lutando no chão.	4.0
135	main-captions	MSRvid	2012test	199	none	none	O filhote brincava com uma bola de tênis azul.	Um filhote está brincando com uma bola de tênis.	4.0
136	main-captions	MSRvid	2012test	200	none	none	Um canguru está comendo alguma coisa.	Um canguru está comendo.	4.8
137	main-captions	MSRvid	2012test	201	none	none	Um gato está tocando piano.	Um homem está tocando violão.	0.6
138	main-captions	MSRvid	2012test	202	none	none	O homem cortou um tapete com uma faca.	Um homem está cortando o tapete com uma faca.	4.75
139	main-captions	MSRvid	2012test	203	none	none	Uma mulher está andando de scooter motorizada por uma estrada.	Um homem está andando de motoneta.	2.2
140	main-captions	MSRvid	2012test	204	none	none	alguém está cortando um vegetal.	Alguém está cortando um tomate.	3.0
141	main-captions	MSRvid	2012test	205	none	none	Uma mulher está dançando.	Um homem está falando.	0.0
142	main-captions	MSRvid	2012test	207	none	none	Um cachorro lambe a baba de um bebê.	Um cachorro lambe um bebê.	2.2
143	main-captions	MSRvid	2012test	208	none	none	Um homem está remando um barco.	Um homem está cortando um tomate.	0.4
144	main-captions	MSRvid	2012test	210	none	none	Um homem corta batatas.	Um homem corta batatas.	4.8
145	main-captions	MSRvid	2012test	212	none	none	Uma mulher está cortando alho.	A mulher está cortando alho.	4.8
146	main-captions	MSRvid	2012test	214	none	none	Um animal corre em círculos.	Um esquilo corre em círculos.	3.8
147	main-captions	MSRvid	2012test	215	none	none	Um homem está caminhando lentamente através de uma ponte de corda.	Um garoto está atravessando uma ponte.	3.0
148	main-captions	MSRvid	2012test	216	none	none	Um homem está tocando violão.	Um homem sentado em uma sala está tocando violão.	4.0
149	main-captions	MSRvid	2012test	217	none	none	Um homem toca flauta.	Um homem está tocando uma flauta.	5.0
150	main-captions	MSRvid	2012test	221	none	none	Uma mulher quebra dois ovos em uma tigela de vidro.	Uma mulher está quebrando um ovo em uma tigela.	3.8
151	main-captions	MSRvid	2012test	223	none	none	Um homem está cortando um peixe.	Um homem estripou um peixe.	3.0
152	main-captions	MSRvid	2012test	224	none	none	Dois homens estão colocando malas no porta-malas de um carro.	Os homens estão colocando malas na mala do carro.	4.4
153	main-captions	MSRvid	2012test	226	none	none	Um homem derrama óleo em alguns tomates.	O homem derramou óleo sobre os tomates cortados.	3.8
154	main-captions	MSRvid	2012test	227	none	none	Um homem está cortando alguma coisa.	Um homem está cortando um pão.	3.0
155	main-captions	MSRvid	2012test	230	none	none	Um homem está remando uma canoa.	Um homem está tocando uma harpa.	0.667
156	main-captions	MSRvid	2012test	231	none	none	Um homem e uma mulher estão caminhando juntos pela floresta.	Um homem e uma mulher estão andando de braços dados por uma área arborizada.	4.0
157	main-captions	MSRvid	2012test	233	none	none	A mulher pegou o canguru.	Uma mulher pega um bebê canguru.	3.75
158	main-captions	MSRvid	2012test	234	none	none	Os peixes estão nadando.	Um peixe está nadando.	4.133
159	main-captions	MSRvid	2012test	235	none	none	Duas mulheres misturam algo em um processador de alimentos.	Duas mulheres fazem algo no liquidificador.	4.0
160	main-captions	MSRvid	2012test	237	none	none	Uma pessoa está surfando uma onda grande.	Uma pessoa está surfando.	3.6
161	main-captions	MSRvid	2012test	238	none	none	Um homem está tocando violão.	Um homem está esfaqueando um alvo.	1.2
162	main-captions	MSRvid	2012test	239	none	none	Um homem está tocando flauta em uma banda.	Um homem está tocando violão.	1.6
163	main-captions	MSRvid	2012test	240	none	none	O homem espalhou manteiga no pão.	Um homem está espalhando manteiga no pão.	4.0
164	main-captions	MSRvid	2012test	241	none	none	Uma pessoa está fervendo macarrão.	Uma mulher está fervendo macarrão na água.	4.0
165	main-captions	MSRvid	2012test	243	none	none	Um grupo de pessoas dança em uma colina.	Um grupo de pessoas está dançando.	3.2
166	main-captions	MSRvid	2012test	245	none	none	Um homem está dançando lá fora.	Um homem está tocando flauta.	1.0
167	main-captions	MSRvid	2012test	246	none	none	Uma mulher está alimentando um homem.	Uma mulher está misturando carne.	1.0
168	main-captions	MSRvid	2012test	247	none	none	Um homem está colocando uma panela no forno.	Uma mulher está cortando uma cebola.	0.6
169	main-captions	MSRvid	2012test	249	none	none	Uma mulher está sentada em uma mesa.	Uma mulher está montando um burro.	0.4
170	main-captions	MSRvid	2012test	250	none	none	Os médicos transportam um paciente em uma maca.	Um médico apressa um paciente em uma maca.	3.4
171	main-captions	MSRvid	2012test	252	none	none	Uma mulher está tocando uma flauta no palco.	A mulher está tocando flauta.	3.6
172	main-captions	MSRvid	2012test	254	none	none	Dois filhotes de panda estão brincando.	Dois pandas estão deitados juntos.	3.0
173	main-captions	MSRvid	2012test	256	none	none	Um bebê está rindo.	Um bebê está rindo e rindo.	4.0
174	main-captions	MSRvid	2012test	257	none	none	Um homem está tocando violão.	Um garoto está tocando piano.	1.2
175	main-captions	MSRvid	2012test	259	none	none	Um homem está dobrando papel.	Uma mulher está cortando uma pimenta.	0.6
176	main-captions	MSRvid	2012test	260	none	none	Três mulheres estão dançando.	O homem está dançando.	1.6
177	main-captions	MSRvid	2012test	262	none	none	Os gatos estão brincando um com o outro.	Dois gatos estão brigando.	2.6
178	main-captions	MSRvid	2012test	263	none	none	Uma pessoa está escrevendo.	Uma pessoa está escrevendo com um lápis.	3.6
179	main-captions	MSRvid	2012test	267	none	none	Um homem está correndo.	Um homem está correndo por uma estrada.	3.5
180	main-captions	MSRvid	2012test	268	none	none	A mulher está rolando massa.	Uma mulher está florescendo e rolando massa.	3.765
181	main-captions	MSRvid	2012test	269	none	none	Uma mulher está adicionando temperos à carne.	Mulher está adicionando açúcar à carne.	2.75
182	main-captions	MSRvid	2012test	270	none	none	Uma mulher está adicionando óleo nos peixes.	Uma mulher está derramando água no peixe.	2.25
183	main-captions	MSRvid	2012test	271	none	none	Um jovem garoto está segurando um violão.	Um garotinho está tocando violão.	2.75
184	main-captions	MSRvid	2012test	272	none	none	Uma chita está correndo.	Uma chita está correndo através de um campo.	3.8
185	main-captions	MSRvid	2012test	273	none	none	O homem está comendo pizza.	Um homem está comendo uma fatia de pizza.	4.8
186	main-captions	MSRvid	2012test	274	none	none	Um orangotango está andando de ônibus.	Um macaco está andando de ônibus.	3.6
187	main-captions	MSRvid	2012test	275	none	none	Um homem e uma mulher conversam em um restaurante.	Um homem e uma mulher estão andando de bicicleta.	1.2
188	main-captions	MSRvid	2012test	277	none	none	Um homem está tocando violão.	Um homem está limpando uma porta de vidro.	0.4
189	main-captions	MSRvid	2012test	278	none	none	Uma garota está cantando e tocando um violão.	Um jovem está cantando enquanto toca guitarra.	2.4
190	main-captions	MSRvid	2012test	282	none	none	Uma garota está se comunicando com a linguagem de sinais.	Uma jovem garota está usando a linguagem de sinais.	3.9410000000000003
191	main-captions	MSRvid	2012test	283	none	none	Uma mulher está fazendo exercícios com pesos.	Uma mulher está penteando o cabelo.	0.5
192	main-captions	MSRvid	2012test	284	none	none	Um homem está entrando em um carro.	Um homem idoso está entrando em um carro vermelho.	3.75
193	main-captions	MSRvid	2012test	285	none	none	Uma grande bola verde derruba uma batata.	Uma grande bola verde bate uma batata.	4.0
194	main-captions	MSRvid	2012test	287	none	none	Um gato está tocando teclados.	Um gato está tocando piano.	3.0
195	main-captions	MSRvid	2012test	288	none	none	Dois cães nadam na piscina.	Os cães estão nadando em uma piscina.	4.2
196	main-captions	MSRvid	2012test	290	none	none	O homem usou um helicóptero para picar a cebola.	O homem usou uma máquina para cortar uma batata.	2.0
197	main-captions	MSRvid	2012test	291	none	none	Uma mulher corta tofu.	Uma mulher está cortando tofu.	5.0
198	main-captions	MSRvid	2012test	292	none	none	Uma manada de veados está atravessando a rua.	Um rebanho de caribu está atravessando uma estrada.	3.0
199	main-captions	MSRvid	2012test	293	none	none	A pessoa está montando o cavalo.	Um homem está montando um cavalo.	3.8
200	main-captions	MSRvid	2012test	294	none	none	Alguém está alimentando um animal.	Alguém está tocando piano.	0.0
201	main-captions	MSRvid	2012test	295	none	none	Alguém está cortando tortilhas.	Alguém está montando um cavalo.	0.0
202	main-captions	MSRvid	2012test	296	none	none	Alguém está misturando ingredientes.	Alguém está costurando coisas.	0.25
203	main-captions	MSRvid	2012test	297	none	none	Um galo bica um rato morto.	Uma galinha está bicando um rato morto.	4.0
204	main-captions	MSRvid	2012test	298	none	none	Uma mulher segura um canguru.	Uma mulher está pegando um canguru.	3.25
205	main-captions	MSRvid	2012test	299	none	none	Um homem está brincando com sapos	Um gato está brincando com uma câmera.	0.75
206	main-captions	MSRvid	2012test	300	none	none	Dois homens estão conversando.	Dois homens estão tocando violão.	1.5
207	main-captions	MSRvid	2012test	303	none	none	Um homem espalha manteiga em um grande pedaço de pão.	Um homem está manchando a manteiga em uma fatia de pão de alho.	3.5
208	main-captions	MSRvid	2012test	304	none	none	Um homem está atravessando um fio alto.	Um homem está correndo na corda.	3.0
209	main-captions	MSRvid	2012test	307	none	none	Um homem está cortando a grama.	Uma mulher está cortando um limão.	0.2
210	main-captions	MSRvid	2012test	309	none	none	Um homem está abrindo uma porta.	Um homem está tocando violão.	0.8
211	main-captions	MSRvid	2012test	311	none	none	Um homem está cortando uma batata em pedaços.	Um homem está cortando uma batata.	4.2
212	main-captions	MSRvid	2012test	312	none	none	A mulher está cortando polvo cozido.	Uma mulher está cortando polvo.	3.8
213	main-captions	MSRvid	2012test	314	none	none	Um homem está perfurando as tábuas.	Um cachorro está correndo pela água.	0.4
214	main-captions	MSRvid	2012test	316	none	none	Um homem está dançando.	Um homem está comendo pão.	0.8
215	main-captions	MSRvid	2012test	317	none	none	Alguém está tocando piano.	Um homem está tocando violão.	1.2
216	main-captions	MSRvid	2012test	318	none	none	Duas raposas estão comendo de um prato no pátio de tijolos.	As raposas estão comendo em um prato.	2.8
217	main-captions	MSRvid	2012test	319	none	none	Um garoto está tocando um teclado.	Um garoto está tocando piano.	3.2
218	main-captions	MSRvid	2012test	320	none	none	Uma pessoa toca um teclado.	Alguém está tocando um teclado.	5.0
219	main-captions	MSRvid	2012test	322	none	none	Um homem está atirando uma arma.	Um homem está cuspindo.	0.0
220	main-captions	MSRvid	2012test	323	none	none	Alguém está cortando uma cebola.	Someoen está descascando uma batata.	1.0
221	main-captions	MSRvid	2012test	325	none	none	Um homem está nadando.	Uma mulher está cortando carne.	0.0
222	main-captions	MSRvid	2012test	327	none	none	Um homem está tocando violão.	Um homem toca um violão.	3.75
223	main-captions	MSRvid	2012test	328	none	none	Uma mulher está cortando uma abóbora.	Uma mulher está montando um elefante.	0.4
224	main-captions	MSRvid	2012test	329	none	none	Uma mulher está dançando.	Uma mulher está amassando massa.	0.4
225	main-captions	MSRvid	2012test	331	none	none	Uma mulher está quebrando ovos em uma tigela.	Uma mulher está colocando espetos em um rack.	0.6
226	main-captions	MSRvid	2012test	332	none	none	Um carro está se movendo por uma estrada.	Um carro está dirigindo pela estrada.	4.0
227	main-captions	MSRvid	2012test	334	none	none	Alguém está untando uma panela.	Smeone está deitado.	0.4
228	main-captions	MSRvid	2012test	335	none	none	Um homem está tocando violão.	Um homem está drenando macarrão.	0.4
229	main-captions	MSRvid	2012test	336	none	none	Uma mulher está bebendo vodka.	Uma mulher está se exercitando.	0.4
230	main-captions	MSRvid	2012test	339	none	none	Uma mulher está cortando carne em pedaços.	Uma mulher está cortando um pouco de carne.	4.8
231	main-captions	MSRvid	2012test	342	none	none	Um homem está lavando um bife.	Um homem está tocando violão.	0.6
232	main-captions	MSRvid	2012test	344	none	none	Um homem está vendendo itens.	Um homem está limpando a casa.	0.8
233	main-captions	MSRvid	2012test	347	none	none	Um homem está pulando uma parede.	Um homem pula em uma parede curta.	3.2
234	main-captions	MSRvid	2012test	348	none	none	Os corredores correm pela pista.	Corredores competem em uma corrida.	3.2
235	main-captions	MSRvid	2012test	349	none	none	Um homem está chutando uma bola de futebol.	Um homem está misturando uma tigela.	0.6
236	main-captions	MSRvid	2012test	350	none	none	Uma mulher está fritando alguma coisa.	Uma mulher está montando um cavalo.	0.6
237	main-captions	MSRvid	2012test	351	none	none	Um gato está lambendo um otário.	Uma mulher está cortando pepino.	0.0
