index	sentence1	sentence2	label
57	Vi Jim gritando com um cara de uniforme militar com uma enorme barba ruiva. Não sei por que ele estava, mas ele parecia muito infeliz.	Não sei por que o cara de uniforme estava, mas ele parecia muito infeliz.	0
58	Alice tentou freneticamente impedir que a filha conversasse na festa, deixando-nos perguntar por que ela estava se comportando tão estranhamente.	A filha de Alice estava se comportando tão estranhamente.	0
59	Jane bateu na porta de Susan, mas ela não respondeu.	Jane não respondeu.	0
60	Os políticos distantes de Washington não podiam conhecer os colonos, então eles devem fazer regras para regulá-los.	Os políticos devem fazer regras para regulá-los.	1
61	Várias vezes Henry esteve presente em entrevistas que seu pai teve com notáveis detetives que desejavam sua ajuda na solução de mistérios desconcertantes, e essas ocasiões se destacaram como dias de letras vermelhas para ele.	Aquelas ocasiões se destacaram como dias vermelhos para Henry.	1
62	Sam puxou uma cadeira para o piano, mas estava quebrada, então ele teve que ficar de pé.	A cadeira estava quebrada, então ele teve que se levantar.	1
63	Como estava chovendo, carreguei o jornal sobre a mochila para mantê-lo seco.	Carreguei o jornal sobre minha mochila para mantê-la seca.	1
64	Os políticos distantes de Washington não podiam conhecer os colonos, então eles devem fazer regras para regulá-los.	Eles devem fazer regras para regular os políticos.	0
65	Anna se saiu muito melhor do que sua amiga Lucy, no teste, porque estudara muito.	Anna havia estudado muito.	1
66	Mark estava perto dos calcanhares do Sr. Singer. Ele o ouviu chamando pelo capitão, prometendo-lhe, no jargão que todos conversaram naquela noite, que nada deveria ser danificado no navio, exceto apenas a munição, mas é melhor o capitão e toda sua tripulação permanecer na cabine até o trabalho acabou.	Singer o ouviu chamando pelo capitão	0
67	Fred é o único homem ainda vivo que se lembra do meu bisavô. Ele era um homem notável.	Meu bisavô era um homem notável.	1
68	Não pude colocar o pote na prateleira porque estava muito alto.	A prateleira estava muito alta.	1
69	Ninguém se junta ao Facebook para ficar triste e solitário. Mas um novo estudo do psicólogo da Universidade de Wisconsin, George Lincoln, argumenta que é exatamente assim que isso nos faz sentir.	É exatamente assim que o estudo nos faz sentir.	0
70	Bob pagou pela educação universitária de Charlie. Ele é muito generoso.	Bob é muito generoso.	1
71	John prometeu a Bill sair, então uma hora depois ele foi embora.	John foi embora.	1
72	Frank estava chateado com Tom porque a torradeira que ele lhe vendeu não funcionou.	A torradeira que Frank lhe vendeu não funcionou.	0
73	Igualmente digno de desmaio é CK Dexter Haven, um jovem e pálido dândi segurando uma bengala com cabo de jade, com um poodle dormindo aos pés.	Igualmente digno de desmaio é CK Dexter Haven, um jovem e pálido dândi segurando uma bengala com cabo de jade, com um poodle dormindo aos pés de Haven.	1
74	Joe vendeu sua casa e comprou uma nova a alguns quilômetros de distância. Ele sairá na quinta-feira.	Ele vai sair da casa antiga na quinta-feira.	1
75	Mark ouviu os pés de Steve descendo a escada. A porta da loja se fechou atrás dele. Ele correu para olhar pela janela.	A porta da loja se fechou atrás de Mark.	0
76	Não é fácil espaçar as casas de botão exatamente à mesma distância, e é muito difícil cortá-las com o tamanho certo. O menor deslizamento da tesoura tornará o orifício muito grande, e mesmo um fio sem cortes o deixará pequeno demais.	Mesmo um segmento sem cortes deixará o tamanho certo muito pequeno.	0
77	Billy chorou porque Toby não aceitaria seu brinquedo.	Billy chorou porque Toby não aceitaria o brinquedo de Toby.	0
78	Enquanto Ollie carregava Tommy pelos longos e sinuosos degraus, suas pernas balançavam.	As pernas de Ollie balançaram.	0
79	Sam puxou uma cadeira para o piano, mas estava quebrada, então ele teve que cantar.	A cadeira estava quebrada, então ele teve que cantar.	0
80	O peixe comeu o verme. Estava com fome.	O verme estava com fome.	0
81	Os jornalistas entrevistaram as estrelas do novo filme. Eles eram muito cooperativos, então a entrevista durou muito tempo.	Os jornalistas foram muito cooperativos, então a entrevista durou muito tempo.	0
82	O troféu não cabe na mala marrom porque é muito pequeno.	O troféu é muito pequeno.	0
83	Thomson visitou o túmulo de Cooper em 1765. Naquela data, ele viajava havia cinco anos.	Cooper estava viajando há cinco anos.	0
84	Alice estava espanando a sala e tentando encontrar o botão que mamãe havia escondido. Hoje não há tempo para ver fotos antigas em seu álbum de fotos favorito. Hoje ela teve que procurar um botão, então ela colocou o álbum em uma cadeira sem nem mesmo abri-lo.	Ela colocou o álbum em uma cadeira sem nem mesmo abrir a sala de estar.	0
85	Bill passou o prato meio vazio para John porque ele estava cheio.	Bill estava cheio.	1
86	Bill passou o prato meio vazio para John porque ele estava cheio.	John estava cheio.	0
87	As raposas entram à noite e atacam as galinhas. Vou ter que matá-los.	Vou ter que matar as raposas.	1
88	O tio de Joe ainda pode vencê-lo no tênis, mesmo sendo 30 anos mais novo.	Joe é 30 anos mais novo.	1
89	Emma não passou a bola para Janie, embora ela estivesse aberta.	Ela viu que Janie estava aberta.	1
90	Bill passou o garoto para John porque sua vez havia terminado.	A vez de Bill acabou.	1
91	Ann perguntou a Mary a que horas a biblioteca fecha, porque ela havia esquecido.	Ann tinha esquecido.	1
92	Os pais de Pam chegaram em casa e a encontraram fazendo sexo com o namorado, Paul. Eles ficaram furiosos com isso.	Os pais de Pam ficaram furiosos com isso.	1
93	Hoje de manhã, Joey construiu um castelo de areia na praia e colocou uma bandeira de brinquedo na torre mais alta, mas esta tarde a maré a derrubou.	Esta tarde a maré derrubou a bandeira.	0
94	O homem não conseguiu levantar o filho porque ele era muito fraco.	O homem era tão fraco.	1
95	O cliente entrou no banco e esfaqueou um dos caixas. Ele foi imediatamente levado ao hospital.	O cliente foi imediatamente levado ao hospital.	0
96	Como Chester dependia do tio Vernon, ele não poderia muito bem se casar sem sua aprovação	Ele não poderia muito bem se casar sem a aprovação de Chester	0
97	Mamãe veio e sentou-se ao lado de Alice. Gentilmente, ela acariciou os cabelos e deixou a criança chorar.	Mamãe acariciou os cabelos e deixou a criança chorar.	1
98	Emma não passou a bola para Janie, embora ela visse que estava aberta.	Emma viu que ela estava aberta.	1
99	Mark ficou absorvido em Blaze, o cavalo branco. Ele temia que os garotos do estábulo nos estábulos de Burlington o agredissem e o intimidassem porque ele era tímido, então ele assumiu a alimentação e o cuidado do animal.	Mark temia que os garotos do estábulo dos estábulos de Burlington o agredissem e o intimidassem.	1
100	Ao rolar na parte superior, Tatyana podia olhar por cima e ver sua mãe claramente. Quão pequena, reta e rígida ela estava no beliche abaixo! Seus olhos estavam fechados, mas Tatyana duvidava que ela dormisse.	Tatyana duvidou que sua mãe dormisse.	1
101	James pediu um favor a Robert, mas ele foi recusado.	Robert foi recusado.	0
102	Não posso cortar essa árvore com aquele machado; é muito grosso.	O machado é muito grosso.	0
103	Bob desabou na calçada. Logo ele viu Carl vindo para ajudar. Ele estava muito doente.	Bob estava muito doente.	1
104	Emma não passou a bola para Janie, embora ela visse que estava aberta.	Janie viu que ela estava aberta.	0
105	Tom deu a Ralph uma carona para a escola para que ele não tivesse que dirigir sozinho.	Tom não precisaria dirigir sozinho.	1
106	O desenho de Sam estava pendurado logo acima do de Tina e parecia muito melhor com outro abaixo.	O desenho de Sam parecia muito melhor com outro abaixo.	1
107	Embora eles corressem na mesma velocidade, Sue venceu Sally porque ela teve um bom começo.	Sue teve um começo tão bom.	1
108	Grace ficou feliz em me trocar seu suéter pela minha jaqueta. Ela acha que parece desagradável para ela.	O suéter parece desagradável para ela.	1
109	Bob pagou pela educação universitária de Charlie. Ele é muito grato.	Charlie é muito grato.	1
110	Grace ficou feliz em me trocar seu suéter pela minha jaqueta. Ela acha que fica ótimo nela.	O suéter fica ótimo nela.	0
111	Todos os dias, depois do jantar, o Sr. Schmidt tirava uma longa soneca. Mark o deixava dormir por uma hora, depois o acordava, o repreendia e o fazia trabalhar. Ele precisava levá-lo a terminar seu trabalho, porque seu trabalho era bonito.	O trabalho do Sr. Schmidt foi lindo.	1
112	O homem levantou o garoto nos ombros.	O homem levantou o garoto nos ombros do homem.	1
113	Fred e Alice tinham casacos muito quentes, mas não estavam preparados para o frio no Alasca.	casacos não estavam preparados para o frio no Alasca.	0
114	Em julho, Kamtchatka declarou guerra a Yakutsk. Como o exército de Yakutsk estava muito melhor equipado e dez vezes maior, eles foram derrotados em poucas semanas.	Yakutsk foi derrotado dentro de semanas.	0
115	Jackson foi bastante influenciado por Arnold, embora tenha vivido dois séculos antes.	Jackson viveu dois séculos antes.	0
116	O caminho para o lago estava bloqueado, então não podíamos usá-lo.	Não podíamos usar o lago.	0
117	Sara pegou emprestado o livro da biblioteca porque precisa dele para um artigo em que está trabalhando. Ela lê quando chega em casa do trabalho.	Ela lê o livro quando chega em casa do trabalho.	1
118	O cliente entrou no banco e esfaqueou um dos caixas. Ele foi imediatamente levado à delegacia.	O caixa foi imediatamente levado à delegacia.	0
119	Adam não pode deixar o trabalho aqui até Bob chegar para substituí-lo. Se Bob tivesse saído de casa para trabalhar a tempo, ele estaria aqui a essa hora.	Bob estaria aqui a essa hora.	1
120	E quanto tempo você corta bulbos de tulipa nos hambúrgueres porque achava que eram cebolas?	Você pensou que bulbos de tulipa eram cebolas?	1
121	Este livro apresentou Shakespeare a Ovídio; foi uma grande influência em seus escritos.	Foi uma grande influência nos escritos de Shakespeare.	1
122	Thomson visitou o túmulo de Cooper em 1765. Naquela data, ele estava morto há cinco anos.	Cooper estava morto há cinco anos.	1
123	Fred deveria usar a máquina de lavar louça, mas adiou, porque queria assistir TV. Mas o show acabou sendo chato, então ele mudou de idéia e ligou.	Ele mudou de idéia e ligou a TV.	0
124	Paul tentou ligar para George ao telefone, mas ele não estava disponível.	George não estava disponível.	1
125	Quando Tatyana chegou à cabana, sua mãe estava dormindo. Teve o cuidado de não perturbá-la, despindo-se e subindo de volta ao seu lugar.	Tatyana teve o cuidado de não incomodá-la, despindo-se e subindo de volta ao seu lugar.	1
126	Bernard, que não havia dito ao funcionário do governo que tinha menos de 21 anos quando entrou com uma reivindicação de propriedade, não considerou que ele havia feito algo desonesto. Ainda assim, qualquer um que soubesse que ele tinha 19 anos poderia tirar sua reivindicação dele.	Qualquer um que soubesse que ele tinha 19 anos poderia retirar sua reivindicação do funcionário do governo.	0
127	Fred é o único homem ainda vivo que se lembra do meu bisavô. Ele é um homem notável.	Meu bisavô é um homem notável.	0
128	Coloquei o bolo na geladeira. Tem muitas sobras nele.	O bolo tem muitas sobras.	0
129	Jim sinalizou para o barman e apontou para a chave do banheiro.	Jim sinalizou para o barman e apontou para a chave do banheiro do barman.	1
130	Steve segue o exemplo de Fred em tudo. Ele o influencia enormemente.	Fred o influencia enormemente.	1
131	Quando Tatyana chegou à cabana, sua mãe estava dormindo. Teve o cuidado de não perturbá-la, despindo-se e subindo de volta ao seu lugar.	Teve o cuidado de não incomodar a mãe, despindo-se e subindo de volta ao beliche.	1
132	Jane deu doces a Joan porque não estava com fome.	Jane não estava com fome.	1
133	Quando Tommy largou o sorvete, Timmy deu uma risadinha, então o pai lançou-lhe um olhar severo.	Papai lançou um olhar severo para Tommy.	0
134	Não consegui encontrar uma colher, então tentei usar uma caneta para mexer meu café. Mas isso acabou sendo uma péssima idéia, porque ficou cheia de tinta.	O café ficou cheio de tinta.	1
135	O homem não conseguiu levantar o filho porque ele era muito fraco.	O filho era tão fraco.	0
136	Sam tentou pintar uma imagem de pastores com ovelhas, mas eles acabaram se parecendo mais com golfistas.	Os pastores acabaram parecendo mais golfistas.	1
137	Não consegui encontrar uma colher, então tentei usar uma caneta para mexer meu café. Mas isso acabou sendo uma péssima idéia, porque ficou cheia de tinta.	A caneta ficou cheia de tinta.	0
138	John estava correndo pelo parque quando viu um homem fazendo malabarismos com melancias. Ele ficou muito impressionado.	John ficou muito impressionado.	1
139	Fred cobriu os olhos com as mãos, porque o vento soprava areia ao redor. Ele os abaixou quando o vento parou.	Ele baixou os olhos quando o vento parou.	0
140	O caminhão de entregas passou pelo ônibus da escola porque estava indo muito rápido.	O ônibus da escola estava indo tão rápido.	0
141	Durante um jogo de etiqueta, Ethan perseguiu Luke porque ele era &quot;ele&quot;.	Lucas era &quot;isso&quot;.	0
142	Há uma lacuna na parede. Você pode ver o jardim atrás dele.	Você pode ver o jardim através da parede.	1
143	Tirei a garrafa de água da mochila para ficar mais leve.	Tirei a garrafa de água da mochila para que ela fosse mais leve.	0
144	O sol estava coberto por uma nuvem espessa a manhã toda, mas, felizmente, quando o piquenique começou, o sol já havia desaparecido.	O sol estava fora.	1
145	Jim gritou com Kevin porque estava muito chateado.	Jim estava tão chateado.	1
146	Mesmo antes de chegarem à cidade, eles podiam ouvir um som de milho estalando. Dora perguntou o que era, e papai disse que eram fogos de artifício.	Dora perguntou qual era o som.	1
147	Bill passou o gameboy para John porque era a sua vez.	A vez de Bill foi a próxima.	0
148	Fred deveria usar a máquina de lavar louça, mas adiou, porque queria assistir TV. Mas o show acabou sendo chato, então ele mudou de idéia e ligou.	Ele mudou de idéia e ligou a máquina de lavar louça.	1
149	Enquanto Ollie carregava Tommy pelos longos e sinuosos degraus, suas pernas doíam.	As pernas de Tommy doíam.	0
150	As raposas entram à noite e atacam as galinhas. Vou ter que matá-los.	Vou ter que matar as galinhas.	0
151	Papai olhou para o rosto das crianças, tão confuso e triste agora. Já era ruim o suficiente que eles tivessem negado tantas coisas, porque ele não podia pagar.	Já era ruim o suficiente que os rostos tivessem que ser negados tantas coisas porque ele não podia pagar.	0
152	O saco de batatas havia sido colocado acima do saco de farinha, então teve que ser movido primeiro.	O saco de farinha teve que ser movido primeiro.	0
153	O cachorro perseguiu o gato, que subia em uma árvore. Esperou no topo.	O cachorro esperou no topo.	0
154	Steve segue o exemplo de Fred em tudo. Ele o admira imensamente.	Fred o admira imensamente.	0
155	A mulher segurou a garota contra o peito.	A mulher segurou a garota contra o peito da mulher.	1
156	O cachorro perseguiu o gato, que subia em uma árvore. Esperou no fundo.	O cachorro esperou no fundo.	1
157	Bob desabou na calçada. Logo ele viu Carl vindo para ajudar. Ele estava muito preocupado.	Carl estava muito preocupado.	1
158	Sam quebrou os tornozelos e ele está andando de muletas. Mas daqui a um mês, eles devem ser desnecessários.	As muletas devem ser desnecessárias.	1
159	Enfiei um alfinete na cenoura. Quando puxei o pino, ele deixou um buraco.	A cenoura deixou um buraco.	0
160	Sam tentou pintar um retrato de pastores com ovelhas, mas eles acabaram parecendo mais cães.	As ovelhas acabaram parecendo mais cães.	1
161	No meio do show ao ar livre, a chuva começou a cair e continuou até as 10.	O concerto continuou até as 10.	0
162	Os bombeiros chegaram diante da polícia porque estavam vindo de tão longe.	Os bombeiros vinham de tão longe.	0
163	Eu estava tentando abrir a fechadura com a chave, mas alguém havia enchido o buraco da fechadura com chiclete, e eu não consegui entrar.	Não consegui pegar a chave.	1
164	De uma coisa, Mark tinha certeza. Harry sabia muito menos do que ele.	Harry sabia muito menos do que Mark.	1
165	A pradaria de Dakota estava tão quente e brilhante sob o sol brilhante que parecia impossível que alguma vez tivesse sido varrida pelos ventos e neves daquele inverno rigoroso.	Não parecia possível que a pradaria tivesse sido varrida pelos ventos e neves daquele inverno rigoroso.	1
166	Era uma tarde de verão e o cachorro estava sentado no meio do gramado. Depois de um tempo, levantou-se e mudou-se para um local debaixo da árvore, porque estava quente.	O cachorro estava quente.	1
167	Frank sentiu-se justificado quando seu rival de longa data Bill revelou que ele era o vencedor da competição.	Frank foi o vencedor da competição.	1
168	Joan fez questão de agradecer a Susan por toda a ajuda que ela havia dado.	Joan fez questão de agradecer a Susan por toda a ajuda que ela havia dado.	1
169	Eles transmitiram um anúncio, mas um metrô entrou na estação e eu não pude ouvir.	Não pude ouvir o anúncio.	0
170	John estava pesquisando na biblioteca quando ouviu um homem cantarolando e assobiando. Ele ficou muito irritado.	John ficou muito irritado.	1
171	Mary pegou sua flauta e tocou uma de suas peças favoritas. Ela adora desde que era criança.	Ela ama a peça desde que era criança.	1
172	Tenho certeza de que meu mapa mostrará este edifício; é muito bom.	O mapa é muito bom	1
173	Carol acreditava que Rebecca lamentava ter roubado o relógio.	Carol acreditava que Rebecca se arrependia de ter roubado o relógio.	1
174	A mesa não passa pela porta porque é muito estreita.	A porta é muito estreita.	1
175	Se o vigarista conseguisse enganar Sam, ele teria perdido muito dinheiro.	O vigarista teria perdido muito dinheiro.	0
176	Sam puxou uma cadeira para o piano, mas estava quebrada, então ele teve que cantar.	O piano estava quebrado, então ele teve que cantar.	1
177	Fred é o único homem vivo que ainda se lembra de meu pai quando criança. Quando Fred viu meu pai, ele tinha doze meses de idade.	Quando Fred viu meu pai, Fred tinha doze meses.	0
178	Anna se saiu muito melhor do que sua amiga Lucy, no teste, porque estudara muito.	Lucy estudou muito.	0
179	Jane bateu na porta e Susan atendeu. Ela a convidou para sair.	Susan a convidou para sair.	0
180	O caminho para o lago estava bloqueado, então não conseguimos alcançá-lo.	Não conseguimos chegar ao lago.	1
181	Grace ficou feliz em me trocar seu suéter pela minha jaqueta. Ela acha que parece desagradável para ela.	A jaqueta parece desagradável para ela.	0
182	Kirilov cedeu a presidência a Shatov porque ele era mais popular.	Kirilov era mais popular.	0
183	Tentei pintar a imagem de um pomar, com limões nos limoeiros, mas eles pareciam mais postes de telefone.	Os limoeiros pareciam mais postes de telefone.	1
184	Pete inveja Martin, porque ele é muito bem sucedido.	Martin é muito bem sucedido.	1
185	Como estava chovendo, carreguei o jornal na mochila para mantê-lo seco.	Levei o jornal na mochila para mantê-lo seco.	1
186	Os pais de Pam chegaram em casa e a encontraram fazendo sexo com o namorado, Paul. Eles ficaram furiosos com isso.	Pam e Paul ficaram furiosos com isso.	0
187	Fiquei ali, me sentindo um chappie sobre o qual já li em um livro, que assassinou outra enseada e escondeu o corpo sob a mesa da sala de jantar, e então teve que ser a vida e a alma de um jantar, com ele lá o tempo todo.	Ele tinha que ser a vida e a alma de um jantar, com o jantar lá o tempo todo.	0
188	Na tempestade, a árvore caiu e caiu no telhado da minha casa. Agora, tenho que removê-lo.	Agora eu tenho que remover a árvore.	1
189	Fred deveria usar a máquina de lavar louça, mas adiou, porque queria assistir TV. Mas o show acabou sendo chato, então ele mudou de idéia e desligou.	Ele mudou de idéia e desligou a TV.	1
190	No meio do show ao ar livre, a chuva começou a cair e continuou até as 10.	A chuva continuou até as 10.	1
191	Não é fácil espaçar as casas de botão exatamente à mesma distância, e é muito difícil cortá-las com o tamanho certo. O menor deslizamento da tesoura tornará o orifício muito grande, e mesmo um fio sem cortes o deixará pequeno demais.	Mesmo um segmento sem cortes deixará um segmento muito pequeno.	0
192	Sam teve aulas de francês com Adam, porque ele sabia falar fluentemente.	Adam era conhecido por falar fluentemente.	1
193	Sid explicou sua teoria a Mark, mas não conseguiu convencê-lo.	Sid não conseguiu convencê-lo.	1
194	Todo mundo realmente amou os biscoitos de aveia; apenas algumas pessoas gostaram dos biscoitos de chocolate. Da próxima vez, devemos fazer mais deles.	Deveríamos fazer mais biscoitos de aveia.	1
195	O saco de batatas havia sido colocado embaixo do saco de farinha, e teve que ser movido primeiro.	O saco de farinha teve que ser movido primeiro.	1
196	Enquanto Ollie carregava Tommy pelos longos e sinuosos degraus, suas pernas balançavam.	As pernas de Tommy balançaram.	1
197	A biografia de Sam Goodman do general espartano Xenófanes transmite uma sensação vívida das dificuldades que ele enfrentou em sua pesquisa.	A biografia de Sam Goodman do general espartano Xenófanes transmite uma sensação vívida das dificuldades que Goodman enfrentou em sua pesquisa.	1
198	Mark ficou absorvido em Blaze, o cavalo branco. Ele temia que os garotos do estábulo nos estábulos de Burlington o agredissem e o intimidassem porque ele era tímido, então ele assumiu a alimentação e o cuidado do animal.	Blaze assumiu a alimentação e o cuidado do animal.	0
199	O tio de Joe ainda pode vencê-lo no tênis, mesmo tendo 30 anos.	O tio de Joe tem 30 anos.	1
200	Alice estava espanando a sala e tentando encontrar o botão que mamãe havia escondido. Hoje não há tempo para ver fotos antigas em seu álbum de fotos favorito. Hoje ela teve que procurar um botão, então ela colocou o álbum em uma cadeira sem nem mesmo abri-lo.	Mamãe teve que procurar um botão.	0
201	Derramei água da garrafa no copo até ficar cheio.	O copo estava cheio.	1
202	Durante um jogo de etiqueta, Ethan perseguiu Luke porque ele era &quot;ele&quot;.	Ethan era &quot;isso&quot;.	1
203	Jane deu doces a Joan porque estava com fome.	Joan estava com fome.	1
